Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150717-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736162.3938,42202.39375,42202.78403,736162.7845,5.602196693,-13.79953957,-11.27262794,3.342205237,1.867766014
150717-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736162.3938,42202.39375,42202.78403,736162.7845,5.602196693,-13.79953957,-11.27262794,3.342205237,
150717-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736162.8781,42202.87778,42203.12153,736163.1219,-8.76615715,-11.00880909,-9.709280014,0.619033063,10.92602921
150717-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736162.8781,42202.87778,42203.12153,736163.1219,-8.76615715,-11.00880909,-9.709280014,0.619033063,
150721-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736166.6791,42206.67847,42206.73125,736166.7314,,,,,
150721-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736166.6791,42206.67847,42206.73125,736166.7314,,,,,
150722-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736167.8628,42207.8625,42207.89861,736167.8992,,,,,
150722-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736167.8628,42207.8625,42207.89861,736167.8992,,,,,
150728-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736174.0009,42214.00069,42214.36597,736174.3665,-7.926392555,-12.7736969,-10.16497216,1.333547517,4.957960523
150728-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736174.0009,42214.00069,42214.36597,736174.3665,-7.926392555,-12.7736969,-10.16497216,1.333547517,
150729-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736174.3862,42214.38611,42214.75278,736174.7531,-9.636528015,-12.81494141,-11.61486965,0.82623968,7.417190115
150729-1,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,V_SCD_ppm_AvgNOxOff_Decision,736174.3862,42214.38611,42214.75278,736174.7531,-9.636528015,-12.81494141,-11.61486965,0.82623968,
150729-2,5978,NOX_OUT_SENSOR_IR_LO_MOTOR_ERR,P_SCD_ppm_NOxOff_FiltTestResult_Lo,736175.0349,42215.03472,42215.36111,736175.3618,15.64992046,6.066204071,10.10897396,2.099786437,6.367151322
