Test_No,SEID,System_Error,Parameter,DateNum_Start,Start,Stop,Datenum_Stop,Max,Min,Mean,Std,Ppk
150409-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736063.5519,42103.55139,42103.79653,736063.7968,,,,,
150409-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736063.8545,42103.85417,42104.23194,736064.2325,,,,,
150410-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736064.3626,42104.3625,42104.7875,736064.7875,,,,,
150410-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736064.8574,42104.85694,42105.23125,736065.2313,,,,,
150411-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736065.3711,42105.37083,42105.65694,736065.6572,,,,,
150413-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736067.9015,42107.90139,42108.14514,736068.1455,0.995628655,0.980182409,0.986914718,0.004877306,409.1681606
150415-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736069.8766,42109.87639,42110.12083,736070.1213,,,,,
150416-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736070.4074,42110.40694,42110.76458,736070.7646,,,,,
150416-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736070.8942,42110.89375,42111.18264,736071.1831,,,,,
150417-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736071.4539,42111.45347,42111.75833,736071.7585,,,,,
150417-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736071.8761,42111.87569,42112.29653,736072.2968,0.996363521,0.97437495,0.989175946,0.004253601,469.3415701
150418-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736072.2803,42112.27986,42112.40764,736072.4078,0.99679178,0.981270432,0.990736958,0.003930662,508.0346098
150420-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736074.863,42114.8625,42115.26875,736075.2693,0.997204006,0.951767683,0.988536846,0.006274781,318.1272701
150526-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736110.8112,42150.81111,42150.84306,736110.8431,,,,,
150603-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736118.9397,42158.93958,42159.23333,736119.2336,,,,,
150604-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736119.5425,42159.54236,42159.75347,736119.7539,,,,,
150604-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736119.9097,42159.90903,42160.30069,736120.3007,0.975541294,0.942310274,0.960904873,0.009073088,218.9958222
150605-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736120.4107,42160.41042,42160.70833,736120.7085,,,,,
150605-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736120.8431,42160.84306,42160.95903,736120.9591,,,,,
150624-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736139.8491,42179.84861,42180.32569,736140.3258,,,,,
150625-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736140.8805,42180.87986,42181.32361,736141.324,0.967564583,0.939451039,0.956994776,0.00636231,312.0981072
150627-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736142.538,42182.5375,42182.90486,736142.9049,0.999664247,0.968613446,0.991434568,0.006905117,289.226791
150629-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736144.8669,42184.86667,42185.08264,736145.0828,,,,,
150630-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736145.8861,42185.88542,42186.27083,736146.2714,0.973245382,0.8951841,0.94273426,0.015531148,127.5444269
150701-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736146.9103,42186.90972,42187.34444,736147.3448,0.971087456,0.813991845,0.923407396,0.035291904,55.94680128
150702-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736147.3809,42187.38056,42187.8125,736147.8128,1.18881309,0.860004246,0.933973407,0.036774552,53.78695398
150702-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736147.8734,42187.87292,42188.33125,736148.3317,,,,,
150703-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736148.7864,42188.78611,42188.93889,736148.9391,,,,,
150706-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736151.8348,42191.83472,42192.23125,736152.2313,0.976156116,0.933747113,0.959300515,0.00756728,262.5029773
150707-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736152.3646,42192.36389,42192.79236,736152.7928,0.992116988,0.864717484,0.953726461,0.013429657,147.7755865
150707-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736152.8775,42192.87708,42193.34167,736153.3418,0.971009016,0.910907805,0.942909203,0.011956443,165.6821965
150708-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736153.4391,42193.43889,42193.78958,736153.79,0.970334709,0.910168171,0.944911253,0.012044171,164.5307945
150708-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736153.8883,42193.88819,42194.16458,736154.1648,,,,,
150709-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736154.4115,42194.41111,42194.81042,736154.8104,,,,,
150709-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736154.8817,42194.88125,42195.28472,736155.2848,0.988824546,0.895494342,0.963709566,0.015418875,128.9266078
150710-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736155.3704,42195.37014,42195.76528,736155.7656,0.9908095,0.919629514,0.964759219,0.011364413,174.9543068
150710-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736155.8801,42195.87986,42196.17847,736156.1786,,,,,
150711-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736156.4595,42196.45903,42196.73611,736156.7364,,,,,
150713-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736158.8608,42198.86042,42199.275,736159.2751,,,,,
150715-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736160.8766,42200.87639,42201.34236,736161.3426,,,,,
150716-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736161.4475,42201.44722,42201.74514,736161.7455,0.971844971,0.965939879,0.968892425,0.00417553,476.497739
150716-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736161.9004,42201.9,42202.30694,736162.3072,0.994086623,0.900164127,0.950909703,0.024390648,81.32775127
150717-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736162.3938,42202.39375,42202.78403,736162.7845,0.995682418,0.840395927,0.945936422,0.027325421,72.53241732
150717-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736162.8781,42202.87778,42203.12153,736163.1219,,,,,
150721-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736166.6791,42206.67847,42206.73125,736166.7314,0.99513644,0.931693435,0.968488872,0.026626921,74.71747412
150722-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736167.8628,42207.8625,42207.89861,736167.8992,0.986493587,0.938268423,0.964464834,0.013862297,143.4217587
150728-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736174.0009,42214.00069,42214.36597,736174.3665,,,,,
150729-1,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736174.3862,42214.38611,42214.75278,736174.7531,0.996694028,0.970419407,0.988252076,0.006053191,329.75731
150729-2,10102,SCR_CAT_SUBSTRATE_MISSING_ERR,P_SCDE_CM_NormEff_EWMA_Filt_Val,736175.0349,42215.03472,42215.36111,736175.3618,,,,,
